date,source,generation_gwh,unit
2014-02-01,Electricity Generation by Coal,10.05,GWh
2014-02-01,Electricity Generation by Residual Fuel Oil (RFO),2285.04,GWh
2014-02-01,Electricity Generation by Gas,1178.14,GWh
2014-02-01,Electricity Generation by Nuclear,393.97,GWh
2014-02-01,Electricity Imported from Iran,28.1,GWh
2014-02-01,Electricity Generation by Mixed,92.4,GWh
2014-02-01,Electricity Generation by Wind,13.06,GWh
2014-03-01,Total Electricity Generation by all sources,6531.24,GWh
2014-03-01,Electricity Generation by Hydel,1604.42,GWh
2014-03-01,Electricity Generation by Coal,11.69,GWh
2014-03-01,Electricity Generation by High Speed Diesel (HSD),106.31,GWh
2014-03-01,Electricity Generation by Residual Fuel Oil (RFO),2689.21,GWh
2014-03-01,Electricity Generation by Gas,1618.51,GWh
2014-03-01,Electricity Generation by Nuclear,349.96,GWh
2014-03-01,Electricity Imported from Iran,31.42,GWh
2014-03-01,Electricity Generation by Mixed,104.87,GWh
2014-03-01,Electricity Generation by Wind,14.85,GWh
2014-04-01,Total Electricity Generation by all sources,7061.84,GWh
2014-04-01,Electricity Generation by Hydel,1892.69,GWh
2014-04-01,Electricity Generation by Coal,15.71,GWh
2014-04-01,Electricity Generation by High Speed Diesel (HSD),133.32,GWh
2014-04-01,Electricity Generation by Residual Fuel Oil (RFO),2940.79,GWh
2014-04-01,Electricity Generation by Gas,1587.58,GWh
2014-04-01,Electricity Generation by Nuclear,350.94,GWh
2014-04-01,Electricity Imported from Iran,37.44,GWh
2014-04-01,Electricity Generation by Mixed,84.73,GWh
2014-04-01,Electricity Generation by Wind,18.64,GWh
2014-05-01,Total Electricity Generation by all sources,8494.24,GWh
2014-05-01,Electricity Generation by Hydel,2931.4,GWh
2014-05-01,Electricity Generation by Coal,5.98,GWh
2014-05-01,Electricity Generation by High Speed Diesel (HSD),237.21,GWh
2014-05-01,Electricity Generation by Residual Fuel Oil (RFO),3107.0,GWh
2014-05-01,Electricity Generation by Gas,1907.11,GWh
2014-05-01,Electricity Generation by Nuclear,151.55,GWh
2014-05-01,Electricity Imported from Iran,34.61,GWh
2014-05-01,Electricity Generation by Mixed,87.87,GWh
2014-05-01,Electricity Generation by Wind,31.51,GWh
2014-06-01,Total Electricity Generation by all sources,9451.57,GWh
2014-06-01,Electricity Generation by Hydel,3446.54,GWh
2014-06-01,Electricity Generation by Coal,11.54,GWh
2014-06-01,Electricity Generation by High Speed Diesel (HSD),296.4,GWh
2014-06-01,Electricity Generation by Residual Fuel Oil (RFO),3250.99,GWh
2014-06-01,Electricity Generation by Gas,2072.34,GWh
2014-06-01,Electricity Generation by Nuclear,193.64,GWh
2014-06-01,Electricity Imported from Iran,42.49,GWh
2014-06-01,Electricity Generation by Mixed,94.61,GWh
2014-06-01,Electricity Generation by Wind,43.02,GWh
2014-07-01,Total Electricity Generation by all sources,10353.0,GWh
2014-07-01,Electricity Generation by Hydel,3790.63,GWh
2014-07-01,Electricity Generation by Coal,10.11,GWh
2014-07-01,Electricity Generation by High Speed Diesel (HSD),385.5,GWh
2014-07-01,Electricity Generation by Residual Fuel Oil (RFO),3445.24,GWh
2014-07-01,Electricity Generation by Gas,2135.88,GWh
2014-07-01,Electricity Generation by Nuclear,386.12,GWh
2014-07-01,Electricity Imported from Iran,45.62,GWh
2014-07-01,Electricity Generation by Mixed,106.06,GWh
2014-07-01,Electricity Generation by Wind,47.84,GWh
2014-08-01,Total Electricity Generation by all sources,10340.72,GWh
2014-08-01,Electricity Generation by Hydel,4282.93,GWh
2014-08-01,Electricity Generation by Coal,4.7,GWh
2014-08-01,Electricity Generation by High Speed Diesel (HSD),303.58,GWh
2014-08-01,Electricity Generation by Residual Fuel Oil (RFO),3236.65,GWh
2014-08-01,Electricity Generation by Gas,1889.98,GWh
2014-08-01,Electricity Generation by Nuclear,435.93,GWh
2014-08-01,Electricity Imported from Iran,43.26,GWh
2014-08-01,Electricity Generation by Mixed,106.48,GWh
2014-08-01,Electricity Generation by Wind,37.21,GWh
2014-09-01,Total Electricity Generation by all sources,9125.65,GWh
2014-09-01,Electricity Generation by Hydel,3532.44,GWh
2014-09-01,Electricity Generation by Coal,7.85,GWh
2014-09-01,Electricity Generation by High Speed Diesel (HSD),320.17,GWh
2014-09-01,Electricity Generation by Residual Fuel Oil (RFO),2779.77,GWh
2014-09-01,Electricity Generation by Gas,1876.14,GWh
2014-09-01,Electricity Generation by Nuclear,432.03,GWh
2014-09-01,Electricity Imported from Iran,40.21,GWh
2014-09-01,Electricity Generation by Mixed,105.45,GWh
2014-09-01,Electricity Generation by Wind,31.59,GWh
2014-10-01,Total Electricity Generation by all sources,8326.36,GWh
2014-10-01,Electricity Generation by Hydel,3202.84,GWh
2014-10-01,Electricity Generation by Coal,0.12,GWh
2014-10-01,Electricity Generation by High Speed Diesel (HSD),245.48,GWh
2014-10-01,Electricity Generation by Residual Fuel Oil (RFO),2780.61,GWh
2014-10-01,Electricity Generation by Gas,1523.65,GWh
2014-10-01,Electricity Generation by Nuclear,403.42,GWh
2014-10-01,Electricity Imported from Iran,40.75,GWh
2014-10-01,Electricity Generation by Mixed,118.08,GWh
2014-10-01,Electricity Generation by Wind,11.41,GWh
2014-11-01,Total Electricity Generation by all sources,6655.94,GWh
2014-11-01,Electricity Generation by Hydel,2891.91,GWh
2014-11-01,Electricity Generation by Coal,15.34,GWh
2014-11-01,Electricity Generation by High Speed Diesel (HSD),5.07,GWh
2014-11-01,Electricity Generation by Residual Fuel Oil (RFO),1394.06,GWh
2014-11-01,Electricity Generation by Gas,1766.01,GWh
2014-11-01,Electricity Generation by Nuclear,433.65,GWh
2014-11-01,Electricity Imported from Iran,34.44,GWh
2014-11-01,Electricity Generation by Mixed,101.61,GWh
2014-11-01,Electricity Generation by Wind,13.85,GWh
2014-12-01,Total Electricity Generation by all sources,6784.72,GWh
2014-12-01,Electricity Generation by Hydel,1907.41,GWh
2014-12-01,Electricity Generation by Coal,14.47,GWh
2014-12-01,Electricity Generation by High Speed Diesel (HSD),52.7,GWh
2014-12-01,Electricity Generation by Residual Fuel Oil (RFO),2658.56,GWh
2014-12-01,Electricity Generation by Gas,1575.33,GWh
2014-12-01,Electricity Generation by Nuclear,384.92,GWh
2014-12-01,Electricity Imported from Iran,31.31,GWh
2014-12-01,Electricity Generation by Mixed,130.05,GWh
2014-12-01,Electricity Generation by Wind,29.97,GWh
2015-01-01,Total Electricity Generation by all sources,6186.42,GWh
2015-01-01,Electricity Generation by Hydel,809.87,GWh
2015-01-01,Electricity Generation by Coal,1.56,GWh
2015-01-01,Electricity Generation by High Speed Diesel (HSD),582.87,GWh
2015-01-01,Electricity Generation by Residual Fuel Oil (RFO),2806.66,GWh
2015-01-01,Electricity Generation by Gas,1442.89,GWh
2015-01-01,Electricity Generation by Nuclear,349.58,GWh
2015-01-01,Electricity Imported from Iran,29.97,GWh
2015-01-01,Electricity Generation by Mixed,130.05,GWh
2015-01-01,Electricity Generation by Wind,32.97,GWh
2015-02-01,Total Electricity Generation by all sources,5859.07,GWh
2015-02-01,Electricity Generation by Hydel,1957.18,GWh
2015-02-01,Electricity Generation by Coal,18.35,GWh
2015-02-01,Electricity Generation by High Speed Diesel (HSD),105.64,GWh
2015-02-01,Electricity Generation by Residual Fuel Oil (RFO),1933.36,GWh
2015-02-01,Electricity Generation by Gas,1252.6,GWh
2015-02-01,Electricity Generation by Nuclear,409.49,GWh
2015-02-01,Electricity Imported from Iran,28.12,GWh
2015-02-01,Electricity Generation by Mixed,117.52,GWh
2015-02-01,Electricity Generation by Wind,36.81,GWh
2015-03-01,Total Electricity Generation by all sources,6541.1,GWh
2015-03-01,Electricity Generation by Hydel,1364.16,GWh
2015-03-01,Electricity Generation by Coal,7.58,GWh
2015-03-01,Electricity Generation by High Speed Diesel (HSD),302.84,GWh
2015-03-01,Electricity Generation by Residual Fuel Oil (RFO),2540.72,GWh
