date,total_generation_gwh,renewable_generation_gwh,renewable_share_pct,year,month,yoy_growth_pct
2021-11-01,8481.718,3096.633,36.50950196646481,2021,11,13.401033050641376
2021-12-01,8815.054,2118.818,24.036358710905233,2021,12,11.881629326692478
2022-01-01,8796.957,861.3340000000001,9.791272141036952,2022,1,8.889107011451802
2022-02-01,8087.907999999999,1795.62,22.201291112609095,2022,2,11.082378794121684
2022-03-01,10418.418,2147.57,20.61320634284399,2022,3,15.956078160832753
2022-04-01,12960.5,3063.0,23.63334747887813,2022,4,23.657545662055046
2022-05-01,14656.9,4538.1,30.962208925489023,2022,5,12.662992288518682
2022-06-01,13876.1,4342.099999999999,31.29193361247036,2022,6,-3.377337774435951
2022-07-01,14150.9,5606.799999999999,39.621508172625056,2022,7,-9.750134145756695
2022-08-01,14052.6,5850.9,41.63571154092481,2022,8,-12.59776199617889
2022-09-01,12877.9,4986.400000000001,38.72059885540345,2022,9,-8.191973087306636
2022-10-01,10705.0,3482.9,32.53526389537599,2022,10,-5.233830388614946
2022-11-01,8368.0,2791.0,33.35325047801147,2022,11,-1.3407425240971271
2022-12-01,8416.720000000001,2102.52,24.98027735269796,2022,12,-4.518792511083869
2023-01-01,8514.84,1261.14,14.811082768437222,2023,1,-3.2069839604763395
2023-02-01,7755.532,2326.737,30.00099799730051,2023,2,-4.109542294496915
2023-03-01,8741.32,2438.527,27.896553380953907,2023,3,-16.097434370554144
2023-04-01,10010.298,2402.127,23.99655834421712,2023,4,-22.763026117819518
2023-05-01,12283.68,4117.71,33.52179477159939,2023,5,-16.19182773983584
2023-06-01,13715.48,4902.44,35.74384564010884,2023,6,-1.1575298534891032
2023-07-01,14838.720000000001,6181.6900000000005,41.65918623708784,2023,7,4.860609572536023
2023-08-01,15959.276,6932.033,43.43576112099321,2023,8,13.56813685723639
2023-09-01,13339.215,5532.054999999999,41.472118111897885,2023,9,3.582222256734413
2023-10-01,9570.276,3410.044,35.63161605788589,2023,10,-10.599943951424573
2023-11-01,7546.717000000001,2979.16,39.47623847561793,2023,11,-9.81456739961758
2023-12-01,8416.808,2102.5480000000002,24.98034884483524,2023,12,0.0010455379292562128
2024-01-01,8313.732,1206.0720000000001,14.506986753963202,2024,1,-2.361852953197008
2024-02-01,7116.048,2064.826,29.01647094004987,2024,2,-8.245520745707713
2024-03-01,8023.26,2609.992,32.53031810012389,2024,3,-8.214548832441782
2024-04-01,8639.33,2525.92,29.237452441335147,2024,4,-13.695576295530865
2024-05-01,12616.951644,4533.527,35.93203119040186,2024,5,2.713125415185025
2024-06-01,13459.206711,5421.512211,40.28106802586725,2024,6,-1.8684966840387562
2024-07-01,14880.34,5950.09,39.98625031417293,2024,7,0.2804824135774542
2024-08-01,13178.880000000001,5904.89,44.80570427836052,2024,8,-17.421817881964063
2024-09-01,12486.6,5373.959999999999,43.03781653933015,2024,9,-6.391792920348005
2024-10-01,10262.369999999999,3526.7,34.36535615067475,2024,10,7.231703662464906
2024-11-01,8031.595,3079.3070000000002,38.339918783255385,2024,11,6.425018985076547
2024-12-01,7799.7,2216.79,28.4214777491442,2024,12,-7.331853120565435
2025-01-01,8153.29,1265.75,15.524407938390514,2025,1,-1.9298433002170379
2025-02-01,6933.87,2209.0,31.85811098275566,2025,2,-2.560100775036933
2025-03-01,8408.87,1698.59,20.199979307564508,2025,3,4.806151115631319
2025-04-01,10513.22,2937.1,27.937206678829128,2025,4,21.690223663177587
2025-05-01,12754.61,5426.21,42.54312754368812,2025,5,1.091058758757013
2025-06-01,13744.44,6072.95,44.184775807526535,2025,6,2.119242947408506
2025-07-01,14123.11,6400.29,45.31785137975984,2025,7,-5.088795014092417
2025-08-01,14218.340613,6169.085276000001,43.388222605664204,2025,8,7.887321327760777
2025-09-01,12592.03091,5266.801323,41.82646437769902,2025,9,0.8443524258004542
2025-10-01,9885.789999999999,3026.0699999999997,30.610300239029964,2025,10,-3.6695227320784563
2025-11-01,8050.208559,3449.7207909999997,42.85256420025627,2025,11,0.23175420324355045
2025-12-01,8487.043342,1866.91328,21.997216283333547,2025,12,8.81243306793853
2026-01-01,9140.246828,1129.763,12.36031172089481,2026,1,12.105013166464085
2026-02-01,7695.74,2215.74,28.791773110837944,2026,2,10.987659128307858
2026-03-01,8939.278884,2597.2141650000003,29.053956126691983,2026,3,6.307730812820256
2026-04-01,9498.87,2663.28,28.037861345612686,2026,4,-9.64832848546876
2026-05-01,12638.13,5052.41,39.97751249591514,2026,5,-0.9132384290856499
2026-06-01,13431.23,6074.51,45.22675882998058,2026,6,-2.2788123779506564
2026-07-01,15121.51,6853.32,45.32166430468914,2026,7,7.069264489195359
