date,year,month,month_name,source,category,generation_gwh,unit
2013-11-01,2013,11,Nov,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2348.43, GWh
2013-11-01,2013,11,Nov,Electricity Generation by Nuclear,Nuclear,416.15, GWh
2013-11-01,2013,11,Nov,Electricity Generation by Hydel,Renewable,2508.73, GWh
2013-11-01,2013,11,Nov,Electricity Generation by Wind,Renewable,12.64, GWh
2013-12-01,2013,12,Dec,Electricity Generation by Gas,Fossil / Other,1436.52, GWh
2013-12-01,2013,12,Dec,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,66.25, GWh
2013-12-01,2013,12,Dec,Electricity Generation by Mixed,Fossil / Other,104.27, GWh
2013-12-01,2013,12,Dec,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2940.26, GWh
2013-12-01,2013,12,Dec,Electricity Generation by Nuclear,Nuclear,434.45, GWh
2013-12-01,2013,12,Dec,Electricity Generation by Hydel,Renewable,1917.84, GWh
2013-12-01,2013,12,Dec,Electricity Generation by Wind,Renewable,15.0, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Coal,Fossil / Other,6.79, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Gas,Fossil / Other,1227.66, GWh
2014-01-01,2014,1,Jan,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,196.45, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Mixed,Fossil / Other,110.1, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3487.89, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Nuclear,Nuclear,452.45, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Hydel,Renewable,865.91, GWh
2014-01-01,2014,1,Jan,Electricity Generation by Wind,Renewable,20.28, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Coal,Fossil / Other,10.05, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Gas,Fossil / Other,1178.14, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Mixed,Fossil / Other,92.4, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2285.04, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Nuclear,Nuclear,393.97, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Hydel,Renewable,2008.44, GWh
2014-02-01,2014,2,Feb,Electricity Generation by Wind,Renewable,13.06, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Coal,Fossil / Other,11.69, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Gas,Fossil / Other,1618.51, GWh
2014-03-01,2014,3,Mar,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,106.31, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Mixed,Fossil / Other,104.87, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2689.21, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Nuclear,Nuclear,349.96, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Hydel,Renewable,1604.42, GWh
2014-03-01,2014,3,Mar,Electricity Generation by Wind,Renewable,14.85, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Coal,Fossil / Other,15.71, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Gas,Fossil / Other,1587.58, GWh
2014-04-01,2014,4,Apr,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,133.32, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Mixed,Fossil / Other,84.73, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2940.79, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Nuclear,Nuclear,350.94, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Hydel,Renewable,1892.69, GWh
2014-04-01,2014,4,Apr,Electricity Generation by Wind,Renewable,18.64, GWh
2014-05-01,2014,5,May,Electricity Generation by Coal,Fossil / Other,5.98, GWh
2014-05-01,2014,5,May,Electricity Generation by Gas,Fossil / Other,1907.11, GWh
2014-05-01,2014,5,May,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,237.21, GWh
2014-05-01,2014,5,May,Electricity Generation by Mixed,Fossil / Other,87.87, GWh
2014-05-01,2014,5,May,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3107.0, GWh
2014-05-01,2014,5,May,Electricity Generation by Nuclear,Nuclear,151.55, GWh
2014-05-01,2014,5,May,Electricity Generation by Hydel,Renewable,2931.4, GWh
2014-05-01,2014,5,May,Electricity Generation by Wind,Renewable,31.51, GWh
2014-06-01,2014,6,Jun,Electricity Generation by Coal,Fossil / Other,11.54, GWh
2014-06-01,2014,6,Jun,Electricity Generation by Gas,Fossil / Other,2072.34, GWh
2014-06-01,2014,6,Jun,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,296.4, GWh
2014-06-01,2014,6,Jun,Electricity Generation by Mixed,Fossil / Other,94.61, GWh
2014-06-01,2014,6,Jun,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3250.99, GWh
2014-06-01,2014,6,Jun,Electricity Generation by Nuclear,Nuclear,193.64, GWh
2014-06-01,2014,6,Jun,Electricity Generation by Hydel,Renewable,3446.54, GWh
